timestamp,formatted_date,market_id,market_name,yes_bid_open,yes_bid_low,yes_bid_high,yes_bid_close,yes_ask_open,yes_ask_low,yes_ask_high,yes_ask_close,price_open,price_low,price_high,price_close,price_mean,volume,open_interest
2024-10-31T12:58:00.000Z,October 31, 2024,957a7034-c4f1-465c-a45a-fca72ed68ad3,81° or below,5,5,5,5,9,9,9,9,5,5,5,5,5,4,982
2024-10-31T12:58:00.000Z,October 31, 2024,9754680f-5e34-4073-9317-f9846405d704,82° to 83°,7,7,7,7,17,17,17,17,7,7,7,7,7,4,3076
2024-10-31T13:01:00.000Z,October 31, 2024,0f8670ea-5c30-4137-83c6-3f3979e1a5ad,84° to 85°,25,25,28,28,33,33,33,33,,,,,,0,2054
2024-10-31T12:58:00.000Z,October 31, 2024,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,47,47,47,47,50,50,50,50,47,47,47,47,47,4,1824
2024-10-31T13:01:00.000Z,October 31, 2024,9a9787a4-4917-4daa-b500-fe0ea6369715,88° to 89°,14,14,14,14,21,18,21,18,,,,,,0,2452
2024-10-31T12:33:00.000Z,October 31, 2024,0230c294-52dc-4ae0-8bba-1506e70dd122,90° or above,0,0,0,0,5,4,5,4,,,,,,0,1206
2024-11-01T12:58:00.000Z,November 01, 2024,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,6,5,6,5,13,13,13,13,,,,,,0,1086
2024-11-01T13:03:00.000Z,November 01, 2024,202ed98b-4dfb-48f4-8d37-dba91aea133d,81° to 82°,33,31,33,32,40,39,40,39,,,,,,0,756
2024-11-01T13:01:00.000Z,November 01, 2024,fb2ea741-dd4c-4587-be5d-9dc54745528d,83° to 84°,46,46,46,46,55,55,56,56,,,,,,0,3170
2024-11-01T13:00:00.000Z,November 01, 2024,3c0ef95f-d48d-45e8-adfc-c721a9b4e90d,85° to 86°,8,8,8,8,13,13,16,16,,,,,,0,3170
2024-11-01T13:04:00.000Z,November 01, 2024,fb48701d-58f8-4eee-bbe5-24c2390e027e,87° to 88°,0,0,2,2,1,1,61,60,1,1,1,1,1,2,198
2024-11-02T11:01:00.000Z,November 02, 2024,41d80b9f-645c-46c9-9dfe-6c0751bdec98,89° or above,0,0,0,0,1,1,1,1,,,,,,0,1144
2024-11-02T12:59:00.000Z,November 02, 2024,dd62f99c-004e-4c27-a7aa-effb6138e17d,79° or below,5,4,5,4,15,15,15,15,5,4,5,4,4,32,742
2024-11-02T13:01:00.000Z,November 02, 2024,d1fd0332-9f8b-4254-a4c0-52f3ce2d5024,80° to 81°,19,19,20,20,26,25,26,25,,,,,,0,1422
2024-11-02T13:01:00.000Z,November 02, 2024,9a652bf1-32a7-4da9-9a53-2536ca3c499a,82° to 83°,49,49,50,50,58,57,58,57,,,,,,0,2850
2024-11-02T13:00:00.000Z,November 02, 2024,f917fdba-100f-484f-993f-e8cda55b52f8,84° to 85°,18,17,18,17,22,22,22,22,,,,,,0,3062
2024-11-02T13:00:00.000Z,November 02, 2024,1dd5ebcb-f962-4c25-b0f9-c825d80e8d45,86° to 87°,6,6,6,6,11,11,11,11,6,6,6,6,6,68,1010
2024-11-03T12:01:00.000Z,November 03, 2024,dfd7d3e6-c542-46d6-b08e-6b6de1b44dcd,88° or above,0,0,0,0,1,1,1,1,,,,,,0,918
2024-11-03T13:01:00.000Z,November 03, 2024,23765d3a-2089-4aff-907d-dbcad0f3615e,83° or below,0,0,0,0,87,34,87,34,,,,,,0,20
2024-11-03T13:01:00.000Z,November 03, 2024,5e541b30-16a2-4124-b9b6-ec64be532926,84° to 85°,3,2,3,2,89,3,89,15,3,3,3,3,3,22,48
2024-11-03T13:01:00.000Z,November 03, 2024,246f61e4-4deb-4e37-a649-00751ba9c4fb,86° to 87°,20,12,30,27,50,35,50,35,20,20,20,20,20,22,1584
2024-11-03T13:01:00.000Z,November 03, 2024,d938ab5c-5ff3-4b54-95fb-628bf2c83cf7,88° to 89°,47,36,47,39,61,47,61,47,47,43,47,43,43,20,920
2024-11-03T13:01:00.000Z,November 03, 2024,95d3f9aa-a04c-4c04-926b-833f1dce2840,90° to 91°,21,18,43,18,40,20,96,22,40,21,43,21,36,160,1972
2024-11-03T13:01:00.000Z,November 03, 2024,32fa2feb-e352-4bde-b150-22bba6f867eb,92° or above,1,1,1,1,70,31,70,31,1,1,1,1,1,2,20
2024-11-05T12:01:00.000Z,November 05, 2024,dac1b746-4853-4bf8-b4c4-c9ba64570cdd,79° or below,0,0,0,0,1,1,1,1,,,,,,0,922
2024-11-05T12:01:00.000Z,November 05, 2024,873bd5b8-2ae7-4eb8-9213-14461fafc6ba,80° to 81°,0,0,0,0,1,1,1,1,,,,,,0,1208
2024-11-04T13:05:00.000Z,November 04, 2024,58f0bf55-3698-4657-b04a-7dbe2eee3384,82° to 83°,3,3,3,3,11,11,12,12,,,,,,0,2072
2024-11-04T13:01:00.000Z,November 04, 2024,4b6b0f5a-87be-46d8-ba32-e41f9ab324c8,84° to 85°,31,31,31,31,38,38,38,38,38,38,38,38,38,24,2332
2024-11-04T13:03:00.000Z,November 04, 2024,62bc00b1-2771-41ae-8e0f-fe10d8e0ac15,86° to 87°,37,37,37,37,46,46,46,46,46,46,46,46,46,20,2220
2024-11-04T13:02:00.000Z,November 04, 2024,ed4b4d8b-da09-4195-b31a-0032d1477fc8,88° or above,15,15,15,15,25,24,25,24,,,,,,0,4354
2024-11-05T13:00:00.000Z,November 05, 2024,0227469b-f298-48d1-b294-0d9327034618,68° or below,1,1,1,1,2,2,3,3,2,1,2,1,1,346,568
2024-11-05T13:00:00.000Z,November 05, 2024,c50f92df-7f20-4eee-8969-aef33a250405,69° to 70°,1,1,2,2,2,2,6,6,2,2,2,2,2,46,402
2024-11-05T13:00:00.000Z,November 05, 2024,a169f6b1-e674-4254-bc8b-7b796faafbca,71° to 72°,12,12,12,12,82,80,82,82,12,12,12,12,12,6,348
2024-11-05T13:00:00.000Z,November 05, 2024,75c5f948-d37d-42bb-a197-4d28a5ad06b3,73° to 74°,32,32,33,33,54,52,54,54,54,54,54,54,54,6,396
2024-11-05T13:00:00.000Z,November 05, 2024,a98c32d2-7a70-4c00-b6e6-705f3cd87ad5,75° to 76°,28,28,28,28,36,36,36,36,28,28,28,28,28,6,206
2024-11-05T13:00:00.000Z,November 05, 2024,75337b98-3572-4fb3-8f7f-28db208c4703,77° or above,16,16,16,16,31,29,31,29,16,16,16,16,16,6,1848
2024-11-06T13:00:00.000Z,November 06, 2024,6a954b5c-5364-437c-9c51-6b279bbcf044,73° or below,1,1,1,1,19,19,22,22,,,,,,0,276
2024-11-06T13:01:00.000Z,November 06, 2024,73cdb3d5-4550-45e0-9eda-8a15ec13b297,74° to 75°,10,10,10,10,18,18,18,18,10,10,10,10,10,16,698
2024-11-06T13:00:00.000Z,November 06, 2024,e3924b13-55f0-4180-af27-f51d5815a5d7,76° to 77°,28,28,28,28,38,38,38,38,38,38,38,38,38,40,2362
2024-11-06T13:00:00.000Z,November 06, 2024,aa9489c5-8ff2-4b3d-aeee-c511cd5a7b88,78° to 79°,47,45,47,45,55,55,55,55,55,55,55,55,55,34,2838
