timestamp,market_id,market_name,yes_bid_open,yes_bid_low,yes_bid_high,yes_bid_close,yes_ask_open,yes_ask_low,yes_ask_high,yes_ask_close,volume,open_interest
2024-11-01T04:55:00.000Z,957a7034-c4f1-465c-a45a-fca72ed68ad3,81° or below,0,0,0,0,1,1,1,1,6720,9732
2024-11-01T11:01:00.000Z,957a7034-c4f1-465c-a45a-fca72ed68ad3,81° or below,0,0,0,0,1,1,1,1,0,9732
2024-11-01T00:34:00.000Z,9754680f-5e34-4073-9317-f9846405d704,82° to 83°,0,0,0,0,1,1,1,1,1870,21828
2024-11-01T04:31:00.000Z,9754680f-5e34-4073-9317-f9846405d704,82° to 83°,0,0,0,0,1,1,1,1,17760,39588
2024-11-01T11:01:00.000Z,9754680f-5e34-4073-9317-f9846405d704,82° to 83°,0,0,0,0,1,1,1,1,0,39588
2024-11-01T00:14:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,98,98,98,98,100,100,100,100,1006,10674
2024-11-01T00:16:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,98,98,98,98,100,100,100,100,76,10750
2024-11-01T00:18:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,98,98,99,99,100,100,100,100,0,10750
2024-11-01T00:43:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,8,10750
2024-11-01T01:20:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,186,10750
2024-11-01T03:50:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,66,10684
2024-11-01T04:48:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,2,10684
2024-11-01T04:54:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,9350,18842
2024-11-01T04:55:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,98,99,98,100,100,100,100,15546,34388
2024-11-01T04:56:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,98,98,99,99,100,100,100,100,0,34388
2024-11-01T04:59:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,186,34574
2024-11-01T11:01:00.000Z,cd3ddf78-d96f-4127-ae90-85175406d4f4,86° to 87°,99,99,99,99,100,100,100,100,0,34574
2024-11-01T00:09:00.000Z,9a9787a4-4917-4daa-b500-fe0ea6369715,88° to 89°,0,0,0,0,1,1,3,3,154,9946
2024-11-01T00:18:00.000Z,9a9787a4-4917-4daa-b500-fe0ea6369715,88° to 89°,0,0,0,0,3,1,3,1,0,9946
2024-11-01T11:01:00.000Z,9a9787a4-4917-4daa-b500-fe0ea6369715,88° to 89°,0,0,0,0,1,1,1,1,0,9946
2024-11-01T11:01:00.000Z,0230c294-52dc-4ae0-8bba-1506e70dd122,90° or above,0,0,0,0,1,1,1,1,0,4182
2024-11-02T00:06:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,1868,13582
2024-11-02T00:15:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,748,14330
2024-11-02T00:21:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,1868,15990
2024-11-02T00:40:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,186,15990
2024-11-02T00:58:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,4,15986
2024-11-02T03:17:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,86,15986
2024-11-02T03:35:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,186,15986
2024-11-02T04:07:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,934,16630
2024-11-02T04:38:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,168,16798
2024-11-02T04:53:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,186,16984
2024-11-02T11:01:00.000Z,2e12ac23-aefd-4fd1-916c-87f169690578,80° or below,99,99,99,99,100,100,100,100,0,16984
2024-11-02T11:01:00.000Z,3c0ef95f-d48d-45e8-adfc-c721a9b4e90d,85° to 86°,0,0,0,0,1,1,1,1,0,5484
2024-11-02T11:01:00.000Z,fb48701d-58f8-4eee-bbe5-24c2390e027e,87° to 88°,0,0,0,0,1,1,1,1,0,2908
2024-11-02T04:06:00.000Z,41d80b9f-645c-46c9-9dfe-6c0751bdec98,89° or above,0,0,0,0,1,1,1,1,934,1144
2024-11-02T11:01:00.000Z,41d80b9f-645c-46c9-9dfe-6c0751bdec98,89° or above,0,0,0,0,1,1,1,1,0,1144
2024-11-03T00:07:00.000Z,9a652bf1-32a7-4da9-9a53-2536ca3c499a,82° to 83°,99,99,99,99,100,100,100,100,206,7058
2024-11-03T00:35:00.000Z,9a652bf1-32a7-4da9-9a53-2536ca3c499a,82° to 83°,99,99,99,99,100,100,100,100,46,7058
2024-11-03T01:25:00.000Z,9a652bf1-32a7-4da9-9a53-2536ca3c499a,82° to 83°,99,99,99,99,100,100,100,100,4,7054
