event_event_ticker,event_series_ticker,event_sub_title,event_title,event_collateral_return_type,event_mutually_exclusive,event_category,event_strike_date,market_ticker,market_market_type,market_title,market_subtitle,market_yes_sub_title,market_no_sub_title,market_open_time,market_close_time,market_expected_expiration_time,market_expiration_time,market_latest_expiration_time,market_settlement_timer_seconds,market_status,market_response_price_units,market_notional_value,market_tick_size,market_yes_bid,market_yes_ask,market_no_bid,market_no_ask,market_last_price,market_previous_yes_bid,market_previous_yes_ask,market_previous_price,market_volume,market_volume_24h,market_liquidity,market_open_interest,market_result,market_settlement_value,market_can_close_early,market_expiration_value,market_category,market_risk_limit_cents,market_strike_type,market_cap_strike,market_rules_primary,market_rules_secondary
"KXHIGHAUS-24OCT31","KXHIGHAUS","On Oct 31, 2024","Highest temperature in Austin on Oct 31, 2024?","MECNET",true,"Climate and Weather","2024-11-01T04:59:00Z","KXHIGHAUS-24OCT31-T82","binary","","81° or below","81° or below","81° or below","2024-10-30T14:00:00Z","2024-11-01T04:59:00Z","2024-11-01T14:00:00Z","2024-11-07T14:00:00Z","2024-11-07T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,5722,0,0,4866,"no",0,true,"","",0,"less",82,"If the highest temperature recorded in Austin Bergstrom for October 31, 2024 as reported by the National Weather Service's Daily Climate Report, is less than 82°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on October 31, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for October 31, 2024, or one week after October 31, 2024."
"KXHIGHAUS-24OCT31","KXHIGHAUS","On Oct 31, 2024","Highest temperature in Austin on Oct 31, 2024?","MECNET",true,"Climate and Weather","2024-11-01T04:59:00Z","KXHIGHAUS-24OCT31-B82.5","binary","","82° to 83°","82° to 83°","82° to 83°","2024-10-30T14:00:00Z","2024-11-01T04:59:00Z","2024-11-01T14:00:00Z","2024-11-07T14:00:00Z","2024-11-07T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,24680,0,0,19794,"no",0,true,"","",0,"between",83,"If the highest temperature recorded in Austin Bergstrom for October 31, 2024 as reported by the National Weather Service's Daily Climate Report, is between 82-83°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on October 31, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for October 31, 2024, or one week after October 31, 2024."
"KXHIGHAUS-24OCT31","KXHIGHAUS","On Oct 31, 2024","Highest temperature in Austin on Oct 31, 2024?","MECNET",true,"Climate and Weather","2024-11-01T04:59:00Z","KXHIGHAUS-24OCT31-B84.5","binary","","84° to 85°","84° to 85°","84° to 85°","2024-10-30T14:00:00Z","2024-11-01T04:59:00Z","2024-11-01T14:00:00Z","2024-11-07T14:00:00Z","2024-11-07T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,23407,0,-640,19601,"no",0,true,"","",0,"between",85,"If the highest temperature recorded in Austin Bergstrom for October 31, 2024 as reported by the National Weather Service's Daily Climate Report, is between 84-85°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on October 31, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for October 31, 2024, or one week after October 31, 2024."
"KXHIGHAUS-24OCT31","KXHIGHAUS","On Oct 31, 2024","Highest temperature in Austin on Oct 31, 2024?","MECNET",true,"Climate and Weather","2024-11-01T04:59:00Z","KXHIGHAUS-24OCT31-B86.5","binary","","86° to 87°","86° to 87°","86° to 87°","2024-10-30T14:00:00Z","2024-11-01T04:59:00Z","2024-11-01T14:00:00Z","2024-11-07T14:00:00Z","2024-11-07T14:00:00Z",3600,"finalized","usd_cent",100,1,99,100,0,1,99,0,0,0,22983,0,0,17287,"yes",100,true,"86.00","",0,"between",87,"If the highest temperature recorded in Austin Bergstrom for October 31, 2024 as reported by the National Weather Service's Daily Climate Report, is between 86-87°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on October 31, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for October 31, 2024, or one week after October 31, 2024."
"KXHIGHAUS-24OCT31","KXHIGHAUS","On Oct 31, 2024","Highest temperature in Austin on Oct 31, 2024?","MECNET",true,"Climate and Weather","2024-11-01T04:59:00Z","KXHIGHAUS-24OCT31-B88.5","binary","","88° to 89°","88° to 89°","88° to 89°","2024-10-30T14:00:00Z","2024-11-01T04:59:00Z","2024-11-01T14:00:00Z","2024-11-07T14:00:00Z","2024-11-07T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,3,0,0,0,6719,0,0,4973,"no",0,true,"","",0,"between",89,"If the highest temperature recorded in Austin Bergstrom for October 31, 2024 as reported by the National Weather Service's Daily Climate Report, is between 88-89°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on October 31, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for October 31, 2024, or one week after October 31, 2024."
"KXHIGHAUS-24OCT31","KXHIGHAUS","On Oct 31, 2024","Highest temperature in Austin on Oct 31, 2024?","MECNET",true,"Climate and Weather","2024-11-01T04:59:00Z","KXHIGHAUS-24OCT31-T89","binary","","90° or above","90° or above","90° or above","2024-10-30T14:00:00Z","2024-11-01T04:59:00Z","2024-11-01T14:00:00Z","2024-11-07T14:00:00Z","2024-11-07T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,49,0,0,0,2136,0,0,2091,"no",0,true,"","",0,"greater",,"If the highest temperature recorded in Austin Bergstrom for October 31, 2024 as reported by the National Weather Service's Daily Climate Report, is greater than 89°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on October 31, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for October 31, 2024, or one week after October 31, 2024."
"KXHIGHAUS-24NOV01","KXHIGHAUS","On Nov 1, 2024","Highest temperature in Austin on Nov 1, 2024?","MECNET",true,"Climate and Weather","2024-11-02T04:59:00Z","KXHIGHAUS-24NOV01-T81","binary","","80° or below","80° or below","80° or below","2024-10-31T14:00:00Z","2024-11-02T04:59:00Z","2024-11-02T14:00:00Z","2024-11-08T14:00:00Z","2024-11-08T14:00:00Z",3600,"finalized","usd_cent",100,1,99,100,0,1,99,0,0,0,10546,0,0,8492,"yes",100,true,"78.00","",0,"less",81,"If the highest temperature recorded in Austin Bergstrom for November 01, 2024 as reported by the National Weather Service's Daily Climate Report, is less than 81°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on November 01, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for November 01, 2024, or one week after November 01, 2024."
"KXHIGHAUS-24NOV01","KXHIGHAUS","On Nov 1, 2024","Highest temperature in Austin on Nov 1, 2024?","MECNET",true,"Climate and Weather","2024-11-02T04:59:00Z","KXHIGHAUS-24NOV01-B81.5","binary","","81° to 82°","81° to 82°","81° to 82°","2024-10-31T14:00:00Z","2024-11-02T04:59:00Z","2024-11-02T14:00:00Z","2024-11-08T14:00:00Z","2024-11-08T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,6803,0,0,4499,"no",0,true,"","",0,"between",82,"If the highest temperature recorded in Austin Bergstrom for November 01, 2024 as reported by the National Weather Service's Daily Climate Report, is between 81-82°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on November 01, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for November 01, 2024, or one week after November 01, 2024."
"KXHIGHAUS-24NOV01","KXHIGHAUS","On Nov 1, 2024","Highest temperature in Austin on Nov 1, 2024?","MECNET",true,"Climate and Weather","2024-11-02T04:59:00Z","KXHIGHAUS-24NOV01-B83.5","binary","","83° to 84°","83° to 84°","83° to 84°","2024-10-31T14:00:00Z","2024-11-02T04:59:00Z","2024-11-02T14:00:00Z","2024-11-08T14:00:00Z","2024-11-08T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,7090,0,0,5304,"no",0,true,"","",0,"between",84,"If the highest temperature recorded in Austin Bergstrom for November 01, 2024 as reported by the National Weather Service's Daily Climate Report, is between 83-84°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on November 01, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for November 01, 2024, or one week after November 01, 2024."
"KXHIGHAUS-24NOV01","KXHIGHAUS","On Nov 1, 2024","Highest temperature in Austin on Nov 1, 2024?","MECNET",true,"Climate and Weather","2024-11-02T04:59:00Z","KXHIGHAUS-24NOV01-B85.5","binary","","85° to 86°","85° to 86°","85° to 86°","2024-10-31T14:00:00Z","2024-11-02T04:59:00Z","2024-11-02T14:00:00Z","2024-11-08T14:00:00Z","2024-11-08T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,3530,0,0,2742,"no",0,true,"","",0,"between",86,"If the highest temperature recorded in Austin Bergstrom for November 01, 2024 as reported by the National Weather Service's Daily Climate Report, is between 85-86°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on November 01, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for November 01, 2024, or one week after November 01, 2024."
"KXHIGHAUS-24NOV01","KXHIGHAUS","On Nov 1, 2024","Highest temperature in Austin on Nov 1, 2024?","MECNET",true,"Climate and Weather","2024-11-02T04:59:00Z","KXHIGHAUS-24NOV01-B87.5","binary","","87° to 88°","87° to 88°","87° to 88°","2024-10-31T14:00:00Z","2024-11-02T04:59:00Z","2024-11-02T14:00:00Z","2024-11-08T14:00:00Z","2024-11-08T14:00:00Z",3600,"finalized","usd_cent",100,1,0,1,99,100,1,0,0,0,1475,0,0,1454,"no",0,true,"","",0,"between",88,"If the highest temperature recorded in Austin Bergstrom for November 01, 2024 as reported by the National Weather Service's Daily Climate Report, is between 87-88°, then the market resolves to Yes.","Please be advised to check to see what temperatures have occurred previously in the day. While the market resolves based on the finalized report from the NWS, traders should use other data sources--including other preliminary NWS reporting--to inform their trades.
 
The Last Trading Time will be 11:59 PM ET on November 01, 2024 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for November 01, 2024, or one week after November 01, 2024."
